category,clause,include,reason,occurrences
racial,for justice for Tyrone West and all victims of police brutality,1,Supports the selected cause in CCC claims_summary.,52
racial,for justice for police violence victim Allan Feliz,1,Supports the selected cause in CCC claims_summary.,1
racial,for justice for police violence victim Francis Gigliotti,1,Supports the selected cause in CCC claims_summary.,1
racial,for racial justice,1,Supports the selected cause in CCC claims_summary.,113
racial,for racial justice and equity in public education,1,Supports the selected cause in CCC claims_summary.,1
racial,for racial justice in the United States,1,Supports the selected cause in CCC claims_summary.,1
racial,"for raising awareness about the increasing number of book bans in the United States, particularly those targeting LGBTQ+ and racial justice topics.",1,Supports the selected cause in CCC claims_summary.,1
racial,"for the liberation for all against increased state and police violence, homophobia, and transphobia",1,Supports the selected cause in CCC claims_summary.,3
racial,in remembrance of Hong Kong police brutality in August 2019,1,Supports the selected cause in CCC claims_summary.,1
racial,in solidarity with the Black Lives Matter movement,1,Supports the selected cause in CCC claims_summary.,52
racial,in support of activist Thairie Ritchie who self-immolated at the Black Lives Matter mural in Santa Cruz on Jan. 20,0,Location references BLM; the stated demand is not explicit racial/police justice.,1
gaza,Against Israel’s impending ground invasion of Gaza City and U.S. military support,1,Supports the selected cause in CCC claims_summary.,1
gaza,Against U.S. military support in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,Against U.S. support for Israel in the Israel-Gaza war,1,Supports the selected cause in CCC claims_summary.,1
gaza,Against U.S. support for Israeli military actions in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,For humanitarian aid  to Gaza and peace,1,Supports the selected cause in CCC claims_summary.,1
gaza,For palestinian liberation,1,Supports the selected cause in CCC claims_summary.,1
gaza,Palestine flag,1,Supports the selected cause in CCC claims_summary.,1
gaza,Palestinian liberation,1,Supports the selected cause in CCC claims_summary.,56
gaza,against  the firing of adjunct professors allegedly over Palestinian solidarity,1,Supports the selected cause in CCC claims_summary.,1
gaza,against AB 715 public education bill and efforts to censor education on Palestine,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Arkansas-based firearm export companies being complicit in the genocide in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Arkansas-based firearm export companies profiting from the war in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against CNN's coverage of the conflict in Gaza,0,Hostage-only or ambiguous claim; no explicit Palestinian-solidarity/ceasefire demand in this clause.,1
gaza,against CUNY repressing studnets and faculty for speaking out against the war in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Capital One extending its credit line to Elbit Systems as Elbit Systems continues to manufacture weapons for Israel's genocide in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Chevalier's Books owner Bert Deixler canceling an event with Palestinian author Jenan Matari,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Chevron supporting Israel's genocide of Palestinians,1,Supports the selected cause in CCC claims_summary.,20
gaza,against Chevron's complicity in genocide in Gaza,1,Supports the selected cause in CCC claims_summary.,16
gaza,against Citibank financing projects that contribute to the starvation and genocide of Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Citibank's complicity in genocide in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Columbia University's repression of pro-Palestine student protest,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Deixler censoring Palestinian voices,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Deixler supporting Israel's genocide in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Egypt's and Jordan's complicity in Israel's genocide on Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Egypt's complicity in Israel's genocide on Gaza,1,Supports the selected cause in CCC claims_summary.,2
gaza,against For Gaza protest,0,Opposes Palestinian solidarity or a solidarity event.,1
gaza,against Fox News manufacturing consent in the US-Israel genocide of Palestinians in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against George Washington University suspending Students for Justice in Palestine,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Gov. Tim Walz avoiding meeting with constituents regarding Israel-Palestine,0,Hostage-only or ambiguous claim; no explicit Palestinian-solidarity/ceasefire demand in this clause.,1
gaza,against Governor Kathy Hochul's decision to remove a job posting for a Palestinian studies professor role,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Harris for comlicity regarding the war in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Imperial Valley Press lack of coverage on the war in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Israel airstrike in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,"against Israel's attacks in the West Bank, against genocide in Gaza",1,Supports the selected cause in CCC claims_summary.,1
gaza,against Israel's attacks on Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Israel's attacks on Kamal Adwan Hospital and all healthcare workers in Gaza,1,Supports the selected cause in CCC claims_summary.,2
gaza,against Israel's attacks on Kamal Adwan Hospital and other healthcare facilities and healthcare workers in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Israel's attacks on healthcare workers and hospitals in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Israel's attacks on hospitals and healthcare workers in Gaza,1,Supports the selected cause in CCC claims_summary.,11
gaza,against Israel's attacks on the West Bank and Gaza and Lebanon,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Israel's blockage of all food and aid from entering Gaza,1,Supports the selected cause in CCC claims_summary.,137
gaza,against Israel's bombing in Palestine and Lebanon,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Israel's continuing attacks on Palestine and Lebanon,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Israel's destruction of healthcare facilities in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Israel's destruction of the healthcare system in Gaza,1,Supports the selected cause in CCC claims_summary.,10
gaza,against Israel's detention of Dr. Hussam Abu Safiya and other healthcare workers from Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Israel's genocide of Gazans,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Israel's genocide of Palestinians in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Israel's killings of journalists in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Israel's military force in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Israel's military operations in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Israel's occupation of Gaza and its impending occupation of Gaza City,1,Supports the selected cause in CCC claims_summary.,3
gaza,against Israel's starvation of Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Israel's starvation of civilians in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Israel's use of military force in Gaza,1,Supports the selected cause in CCC claims_summary.,5
gaza,against Israel's use of violence against non-combatants in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Israel's war on Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Israel's war on Gaza and Lebanon,1,Supports the selected cause in CCC claims_summary.,53
gaza,against Israel-Palestine conflict,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Israeli genocide against Palestinians,1,Supports the selected cause in CCC claims_summary.,4
gaza,against Israeli prime minister Benjamin Netanyahu's leadership of genocide in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Israel’s genocide of Palestinians,1,Supports the selected cause in CCC claims_summary.,60
gaza,against Israel’s genocide of Palestinians in Gaza,1,Supports the selected cause in CCC claims_summary.,29
gaza,against Israel’s murder of journalists in Gaza,1,Supports the selected cause in CCC claims_summary.,122
gaza,against Johns Hopkins University’s response to the Israel-Palestine conflict,0,Hostage-only or ambiguous claim; no explicit Palestinian-solidarity/ceasefire demand in this clause.,1
gaza,against L3Harris's complicity in genocide in Gaza,1,Supports the selected cause in CCC claims_summary.,54
gaza,against Lockheed Martin's complicity in genocide in Gaza,1,Supports the selected cause in CCC claims_summary.,2
gaza,against McNally Capital investing in Israel's genocide in Gaza,1,Supports the selected cause in CCC claims_summary.,21
gaza,against NYT article concerning Israeli sexual assault of Palestinians,0,Hostage-only or ambiguous claim; no explicit Palestinian-solidarity/ceasefire demand in this clause.,1
gaza,against NYT manufacturing consent for Israel’s U.S.-backed war against the Palestinian people,1,Supports the selected cause in CCC claims_summary.,1
gaza,against NYU disciplining pro-Palestine student protesters,1,Supports the selected cause in CCC claims_summary.,1
gaza,against NYU's complicity in silencing opposition to war and genocide in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against New York Times implying that Gazans are not being starved,1,Supports the selected cause in CCC claims_summary.,1
gaza,against New York University's punishment of pro-Palestinian student protesters,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Palestinian gencide,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Palestinian liberation,0,Opposes Palestinian solidarity or a solidarity event.,1
gaza,against Penn State's lack of support for Palestine,1,Supports the selected cause in CCC claims_summary.,1
gaza,against President Donald Trump’s proposal to resettle Palestinians in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against President Trump's plan to take over Gaza while relocating residents to neighboring countries,1,Supports the selected cause in CCC claims_summary.,1
gaza,against President Trump's position to take control of Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against President Trump’s ethnic cleansing plans for Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Raytheon Technologies and defense contractors due to their alleged role in the humanitarian crisis/genocide in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Rep. Bell going on a trip to Israel amidst Israel's ongoing genocide of Palestinians in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Rep. Brittany Pettersen supporting Israel's genocide of Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Sen. Adam Schiff voting to continue sending support and weapons to Israel amidst Israel's ongoing genocide of Palestinians in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Sen. Alex Padilla voting to continue sending support and weapons to Israel amidst Israel's ongoing genocide of Palestinians in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Sen. Risch remaining silent on the genocide in Gaza,1,Supports the selected cause in CCC claims_summary.,21
gaza,against Sen. Wicker supporting Israel's genocide of Palestinians in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Textron Aviation's complicity in genocide in Gaza and support for police and border surveillance in the U.S.,1,Supports the selected cause in CCC claims_summary.,1
gaza,against The New York Times newspaper's role in spreading misinformation and enabling genocide in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Trump administration proposal to annex the Gaza Strip,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Trump targeting pro-palestine protesters,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Tufts University's complicity in genocide in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against U Michigan firing Eaman Ali for pro-Palestine protests,1,Supports the selected cause in CCC claims_summary.,1
gaza,against U.S. Rep. Chris Pappas' support for genocide in Gaza and imperialist wars in Syria and Yemen,1,Supports the selected cause in CCC claims_summary.,1
gaza,against U.S. Secretary of State Anthony Blinken's complicity in genocide in Gaza,1,Supports the selected cause in CCC claims_summary.,4
gaza,against U.S. complicity in Israel's oppression of Palestinians,1,Supports the selected cause in CCC claims_summary.,1
gaza,"against U.S. involvement in Israel’s actions in Gaza, for Palestinian self-determination, against Trump’s plan to take over Gaza, for honoring the ceasefire agreement, against leveraging foreign aid to pressure Jordan and Egypt, for stopping the ethnic cleansing of Palestinians, against continued attacks on displaced Palestinians, for recognizing Gaza’s history and the right of Palestinians to remain on their land, against destruction of Palestinian infrastructure and homes",1,Supports the selected cause in CCC claims_summary.,1
gaza,against U.S. invovlement in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against U.S. support for Israel's attack on Gaza,1,Supports the selected cause in CCC claims_summary.,56
gaza,against UCLA Chancello Julio Frenk allowing for the arrest of students protesting genocide in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against US Sen. Cory Booker's hypocrisy regarding the genocie in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against US elected officials accepting money from pro-Israel agencies amidst Israel's ongoing genocide of Palestinians,1,Supports the selected cause in CCC claims_summary.,1
gaza,against US funding Israel's genocide in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against US support for Israel's attack on Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against University of Rochester's complicity in the war in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against Wells Fargo financing weapons manufacturing for Israel's genocide in Gaza,1,Supports the selected cause in CCC claims_summary.,4
gaza,against Yale pro-Palestine protest,0,Opposes Palestinian solidarity or a solidarity event.,1
gaza,against Zionist attacks on pro-Palestine protester,1,Supports the selected cause in CCC claims_summary.,1
gaza,against a New York real estate event promoting the sale of Palestinian property on settlements in the occupied West Bank,1,Supports the selected cause in CCC claims_summary.,1
gaza,against an Evening for Gaza fundraiser event,0,Opposes Palestinian solidarity or a solidarity event.,1
gaza,against appropriation of Palestinian cuisine and culture by Israel,1,Supports the selected cause in CCC claims_summary.,1
gaza,"against budget cuts and tuition hikes at California State University campuses, for LGBTQ+ rights, for Palestinian liberation",1,Supports the selected cause in CCC claims_summary.,1
gaza,against celebrating the 4th of July when Palestinians are not free,1,Supports the selected cause in CCC claims_summary.,1
gaza,against complicity in genocide in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against complicity in the Gaza genocide,1,Supports the selected cause in CCC claims_summary.,137
gaza,against complicity in the Palestinian genocide,1,Supports the selected cause in CCC claims_summary.,1
gaza,against complicity in the occupation of Palestine,1,Supports the selected cause in CCC claims_summary.,1
gaza,against crackdowns on Palestinian rights movement,1,Supports the selected cause in CCC claims_summary.,1
gaza,against criminal charges lodged against two local Palestinian liberation activists,1,Supports the selected cause in CCC claims_summary.,1
gaza,against deportations of students rallying for Palestine,1,Supports the selected cause in CCC claims_summary.,1
gaza,against disbanding Palestine Studies,1,Supports the selected cause in CCC claims_summary.,1
gaza,against ethnic cleansing and genocide in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against ethnic cleansing in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against ethnic cleansing in Palestine,1,Supports the selected cause in CCC claims_summary.,1
gaza,against executive orders targeting pro-Palestinian activism on college campuses,1,Supports the selected cause in CCC claims_summary.,1
gaza,against geneocide in Gaza,1,Supports the selected cause in CCC claims_summary.,2
gaza,against genocide and displacement in Gaza,1,Supports the selected cause in CCC claims_summary.,14
gaza,against genocide and starvation in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against genocide in Gaza,1,Supports the selected cause in CCC claims_summary.,3249
gaza,against genocide in Palestine,1,Supports the selected cause in CCC claims_summary.,2
gaza,against humanitarian crisis in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against local and Maryland state involvement in the Israel-Palestine war,1,Supports the selected cause in CCC claims_summary.,1
gaza,against major US media outlets supporting the genocide in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against manufacturing of bomb components used in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against media manufacturing consent in Israel's genocide in Gaza,1,Supports the selected cause in CCC claims_summary.,146
gaza,against military intervention in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against occupation and ethnic cleansing in Palestine,1,Supports the selected cause in CCC claims_summary.,1
gaza,"against ongoing violence and economic blockade in Gaza, journalist assassinations, starvation, and collective punishment",1,Supports the selected cause in CCC claims_summary.,1
gaza,against oppression on Palestine people,1,Supports the selected cause in CCC claims_summary.,1
gaza,against pro-Palestine demonstration,0,Opposes Palestinian solidarity or a solidarity event.,4
gaza,against pro-Palestine demonstrators,0,Opposes Palestinian solidarity or a solidarity event.,2
gaza,against pro-Palestine marchers,0,Opposes Palestinian solidarity or a solidarity event.,1
gaza,against pro-Palestine protest,0,Opposes Palestinian solidarity or a solidarity event.,3
gaza,against pro-Palestine protesters,0,Opposes Palestinian solidarity or a solidarity event.,6
gaza,against pro-Palestine rally,0,Opposes Palestinian solidarity or a solidarity event.,4
gaza,against pro-Palestinian protesters,0,Opposes Palestinian solidarity or a solidarity event.,2
gaza,against proposed Trump administration's US takeover of Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against punishment of pro-Palestinian student protesters,1,Supports the selected cause in CCC claims_summary.,1
gaza,against representative Wesley Bell for his support to genocide in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against repression and discrimination towards pro-Palestinian students at City University of New York and in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against scholasticide in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against several US Senators voting to continue sending weapons to Israel amidst the genocide in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against speakers at a University of Maryland event about political negotiations in the Middle East in favor of Israel's military offensive in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against starvation in Gaza,1,Supports the selected cause in CCC claims_summary.,42
gaza,against starvation of children in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against starving Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against state legislation that would criminalize pro-Palestinian activism,1,Supports the selected cause in CCC claims_summary.,3
gaza,against suspension of Students for Justice in Palestine at UCLA organization,1,Supports the selected cause in CCC claims_summary.,1
gaza,against suspensions and evictions of University of Chicago students who participated in Palestine solidarity protest,1,Supports the selected cause in CCC claims_summary.,1
gaza,against takeover of Gaza strip,1,Supports the selected cause in CCC claims_summary.,1
gaza,against targeting students for their support of Palestine,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the American Medical Association's failure to denounce the killing of 8 paramedics in Gaza by Israeli security forces,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the Egyptian government's complicity in the starvation of Gaza's population,1,Supports the selected cause in CCC claims_summary.,2
gaza,against the Gaza Humanitarian Foundation,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the Israel-Palestine war,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the Israeli occupation in Palestine,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the New York Times newspapers' complicity in genocide in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the New York Times perpetuating the narrative that Israel is not committing genocide in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the New York Times' alleged bias towards Israel in its coverage of violence in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the Palestine vigil,0,Opposes Palestinian solidarity or a solidarity event.,2
gaza,against the Palestinian Authority's collaboration with Israel,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the Rep. Troy Carter supporting continuing to send weapons to Israel amidst the genocide in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the Rhode Island School of Design's request to relocate pro-Palestinian art,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the Sen. Chris Coons voting to continue sending weapons to Israel amidst the genocide in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the Trump Administration's efforts to deport Columbia student Yunseo Chung for her Pro-Palestinian speech,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the Trump administration funding Israel's ongoing genocide in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the Trump administration's proposal for control over Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,"against the U.S. State Department halting medical visas for children from Gaza, including amputees and those critically wounded",1,Supports the selected cause in CCC claims_summary.,17
gaza,against the U.S. news media's complicity in ongoing genocide in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the US and Trump supporting and aiding Israel’s genocide of Palestinians,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the US continuing to send weapons to Israel amidst the genocide in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the US media inaccurately portraying the genocide in Gaza to appease Israel,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the US supporting Israel's genocide in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the US supporting and aiding Israel’s genocide of Palestinians,1,Supports the selected cause in CCC claims_summary.,188
gaza,against the US voting to continue sending weapons to Israel amidst the genocide in Gaza,1,Supports the selected cause in CCC claims_summary.,139
gaza,against the US-Israel war on Palestine,1,Supports the selected cause in CCC claims_summary.,1
gaza,"against the United States sending weapons to Israel, for Palestinian liberation",1,Supports the selected cause in CCC claims_summary.,1
gaza,against the Whitney Museum of American Art canceling a performance intended to mourn the deaths of Palestinians in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the arrest and charges brought against 3 Cornell University students for their involvement in protesting the war in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the arrest and detention of 8 pro-Palestinian activists in the United Kingdom,1,Supports the selected cause in CCC claims_summary.,2
gaza,against the arrest and detention of pro-Palestinian activists in the United Kingdom,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the arrest and suspension of pro-Palestine demonstrators on May 5th at University of Washington,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the arrest by British authorities of pro-Palestine activists,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the arrest of Pro-Palestinian protestors by Columbia University Police,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the arrest of a photojournalist for documenting pro-Palestinian vandalism,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the arrest of a pro-Palestine protester,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the arrest of nine pro-Palestine activists in March 2024,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the arrest of three pro-Palestine protesters from Tarrant County,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the assault of a woman at the scene of pro-Palestine and pro-Israel demonstrations on April 24,0,Hostage-only or ambiguous claim; no explicit Palestinian-solidarity/ceasefire demand in this clause.,1
gaza,against the deliberate and ongoing starvation of Palestinians in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the deliberate food shortage and starvation of Palestinians by Israel,1,Supports the selected cause in CCC claims_summary.,239
gaza,against the deliberate starvation of Palestinians,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the destruction of Gaza's environment,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the expulsion of two pro-Palestine students,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the food shortage and ongoing violence in Gaza,1,Supports the selected cause in CCC claims_summary.,9
gaza,against the forced starvation in Gaza by Israel,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the forced starvation of children in Gaza by Israel,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the genocide in Gaza,1,Supports the selected cause in CCC claims_summary.,30
gaza,against the humanitarian crisis in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the impending ground invasion of Gaza City by Israel,1,Supports the selected cause in CCC claims_summary.,3
gaza,against the intentional and ongoing starvation of Gazans,1,Supports the selected cause in CCC claims_summary.,142
gaza,against the killing of Palestinian journalist by Israeli forces,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the killing of Palestinian journalists by Israel,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the killing of civilians in Gaza by Israel,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the mass killing of noncombatants by Israeli military action in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the news media and film industry's misrepresentations and silencing of Palestinians,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the occupation of Gaza by Israel,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the ongoing and deliberate starvation of Gaza by Israel,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the ongoing and deliberate starvation of Gazans by Israel,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the ongoing and deliberate starvation of Palestinians in Gaza,1,Supports the selected cause in CCC claims_summary.,18
gaza,against the ongoing genocide in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the ongoing humanitarian crisis and treatment of people in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the ongoing violence in Gaza,1,Supports the selected cause in CCC claims_summary.,171
gaza,"against the role of the G & B Packing facility in shipping military equipment used by Israel, which contributes to civilian deaths in Palestine",1,Supports the selected cause in CCC claims_summary.,1
gaza,against the sale of land in Palestine to settlers,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the screening of a documentary supporting Palestine,0,Opposes Palestinian solidarity or a solidarity event.,1
gaza,against the siege of Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the starvation of Gaza's population,1,Supports the selected cause in CCC claims_summary.,2
gaza,against the state of Minnesota sending money to Israel during the ongoing genocide in Gaza,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the suffering of families and children in Gaza,1,Supports the selected cause in CCC claims_summary.,53
gaza,against the targeting of pro-Palestinian students,1,Supports the selected cause in CCC claims_summary.,1
gaza,"against the university-hosted discussion on Gaza's future, which the TAHRIR Coalition argued ""whitewashed"" current events",1,Supports the selected cause in CCC claims_summary.,1
gaza,against the vandalism of Palestine flag,1,Supports the selected cause in CCC claims_summary.,1
gaza,against the war in Gaza,1,Supports the selected cause in CCC claims_summary.,2
